Week,Position,Player,Salary,Own%,FPTS
,WR,Khalil Shakir,$5900,7.2%,24.6
,WR,Darnell Mooney,$5500,7.0%,23.2
,TE,Pat Freiermuth,$3800,9.3%,13.8
,FLEX,Jordan Addison,$5300,10.9%,42.3
,D/ST,Steelers,$3500,10.3%,10.0
Week 15,QB,Jared Goff,$6500,4.4%,44.06
,RB,Chase Brown,$7200,14.8%,26.3
,RB,Rhamondre Stevenson,$5900,5.7%,9.5
,WR,Amon-Ra St. Brown,$7600,11.0%,41.3
,WR,Davante Adams,$6900,10.6%,45.8
,WR,Brian Thomas,$5800,8.1%,35.5
,TE,Brenton Strange,$2500,9.1%,18.3
,FLEX,Sam LaPorta,$4400,7.8%,21.1
,D/ST,Broncos,$3200,13.4%,20.0
Week 16,QB,Michael Penix Jr.,$4500,19.1%,7.38
,RB,Jonathan Taylor,$6900,6.0%,42.8
,RB,Chuba Hubbard,$6800,10.4%,35.5
,WR,Kayshon Boutte,$3500,1.4%,20.5
,WR,J. Smith-Njigba,$6000,18.2%,24.0
,WR,Keenan Allen,$5300,18.8%,32.1
,TE,George Kittle,$6000,5.1%,21.6
,FLEX,James Conner,$7100,28.9%,29.6
,D/ST,Falcons,$3700,4.0%,25.0
Week 17,QB,Baker Mayfield,$6900,23.0%,37.56
,RB,Jonathan Taylor,$7900,31.1%,30.6
,RB,Bucky Irving,$6700,44.6%,26.0
,WR,Mike Evans,$7500,34.1%,29.7
,WR,DeVonta Smith,$5800,5.3%,33.0
,WR,Adam Thielen,$5700,22.8%,31.0
,TE,Juwan Johnson,$3500,1.4%,12.6
,FLEX,Tyler Conklin,$2900,2.3%,21.7
,D/ST,Eagles,$3100,13.8%,19.0
Week 18,QB,Bo Nix,$6400,7.3%,36.54
,RB,Michael Carter,$4700,32.6%,15.9
,RB,Brian Robinson,$8500,40.6%,34.3
,WR,Courtland Sutton,$6400,20.5%,20.8
,WR,Jakobi Meyers,$5700,5.5%,30.3
,WR,Drake London,$6500,15.3%,43.7
,TE,Zach Ertz,$4000,14.4%,15.4
,FLEX,Marvin Mims Jr.,$4600,9.1%,22.1
,D/ST,Broncos,$3000,19.1%,15.0
