Season,Week,Position,Player,Salary,Own%,FPTS
2024,Week 11,FLEX,De'Von Achane,$7200,36.0%,20.5
2024,Week 11,D/ST,Dolphins,$3000,13.2%,6.0
2024,Week 12,QB,Tua Tagovailoa,$5800,7.2%,31.48
2024,Week 12,RB,De'Von Achane,$7500,23.7%,20.6
2024,Week 12,RB,Bucky Irving,$5300,8.9%,27.1
2024,Week 12,WR,Jakobi Meyers,$5100,8.9%,25.1
2024,Week 12,WR,Jaylen Waddle,$5300,4.9%,31.4
2024,Week 12,WR,Jordan Addison,$5100,1.5%,33.2
2024,Week 12,TE,Trey McBride,$5600,9.6%,28.3
2024,Week 12,FLEX,Jahmyr Gibbs,$7300,13.5%,24.9
2024,Week 12,D/ST,Cardinals,$2600,3.4%,11.0
2024,Week 13,QB,Jayden Daniels,$7200,2.9%,28.64
2024,Week 13,RB,Bucky Irving,$5800,34.3%,30.5
2024,Week 13,RB,Brian Robinson Jr.,$6100,4.6%,20.9
2024,Week 13,WR,Terry McLaurin,$7100,2.3%,27.3
2024,Week 13,WR,Ladd McConkey,$6100,21.8%,23.7
2024,Week 13,WR,N. Westbrook-Ikhine,$4300,4.3%,21.1
2024,Week 13,TE,Pat Freiermuth,$3500,4.6%,18.8
2024,Week 13,FLEX,Mike Evans,$6700,17.5%,28.8
2024,Week 13,D/ST,Chargers,$3300,1.9%,19.0
2024,Week 14,QB,Josh Allen,$8000,6.2%,54.88
2024,Week 14,RB,Isaac Guerendo,$5400,41.0%,26.8
2024,Week 14,RB,Zach Charbonnet,$4800,43.3%,41.3
2024,Week 14,WR,Puka Nacua,$7700,7.3%,44.8
2024,Week 14,WR,Khalil Shakir,$5900,7.2%,24.6
2024,Week 14,WR,Darnell Mooney,$5500,7.0%,23.2
2024,Week 14,TE,Pat Freiermuth,$3800,9.3%,13.8
2024,Week 14,FLEX,Jordan Addison,$5300,10.9%,42.3
2024,Week 14,D/ST,Steelers,$3500,10.3%,10.0
2024,Week 15,QB,Jared Goff,$6500,4.4%,44.06
2024,Week 15,RB,Chase Brown,$7200,14.8%,26.3
2024,Week 15,RB,Rhamondre Stevenson,$5900,5.7%,9.5
2024,Week 15,WR,Amon-Ra St. Brown,$7600,11.0%,41.3
2024,Week 15,WR,Davante Adams,$6900,10.6%,45.8
