Season,Week,Position,Player,Salary,Own%,FPTS
2022,Week 13,RB,Miles Sanders,$6200,7.4%,31.5
2022,Week 13,WR,Jerry Jeudy,$5400,11.3%,33.3
2022,Week 13,WR,Justin Jefferson,$9000,27.1%,36.3
2022,Week 13,WR,Zay Jones,$4700,6.0%,21.7
2022,Week 13,TE,Evan Engram,$3300,3.6%,42.2
2022,Week 13,FLEX,Jerick McKinnon,$4600,2.0%,35.4
2022,Week 13,D/ST,49ers,$3200,6.6%,10.0
2022,Week 14,QB,Trevor Lawrence,$5700,2.5%,36.42
2022,Week 14,RB,Derrick Henry,$7900,21.3%,25.5
2022,Week 14,RB,Miles Sanders,$6200,7.4%,31.5
2022,Week 14,WR,Jerry Jeudy,$5400,11.3%,33.3
2022,Week 14,WR,Justin Jefferson,$9000,27.1%,36.3
2022,Week 14,WR,Zay Jones,$4700,6.0%,21.7
2022,Week 14,TE,Evan Engram,$3300,3.6%,42.2
2022,Week 14,FLEX,Jerick McKinnon,$4600,2.0%,35.4
2022,Week 14,D/ST,49ers,$3200,6.6%,10.0
2022,Week 15,QB,Patrick Mahomes,$8100,9.7%,35.74
2022,Week 15,RB,Jerick McKinnon,$5200,11.1%,34.2
2022,Week 15,RB,Tyler Allgeier,$4700,0.3%,25.6
2022,Week 15,WR,A.J. Brown,$8000,8.6%,30.4
2022,Week 15,WR,JuJu Smith-Schuster,$5800,8.3%,17.8
2022,Week 15,WR,Zay Jones,$4900,18.6%,37.9
2022,Week 15,TE,Travis Kelce,$7800,15.8%,23.5
2022,Week 15,FLEX,Rashid Shaheed,$3200,3.1%,18.5
2022,Week 15,D/ST,Titans,$2200,4.3%,8.0
2022,Week 16,QB,Daniel Jones,$5600,11.8%,24.76
2022,Week 16,RB,Saquon Barkley,$7900,9.6%,27.3
2022,Week 16,RB,Chuba Hubbard,$4900,1.2%,15.5
2022,Week 16,WR,Justin Jefferson,$9300,24.1%,34.3
2022,Week 16,WR,Isaiah Hodgins,$4100,9.6%,22.9
2022,Week 16,WR,Richie James,$3900,18.6%,17.0
2022,Week 16,TE,T.J. Hockenson,$4900,3.6%,38.9
2022,Week 16,FLEX,DeVonta Smith,$6600,9.3%,34.3
2022,Week 16,D/ST,Patriots,$2700,4.9%,14.0
2022,Week 17,QB,Tom Brady,$6100,3.2%,40.68
2022,Week 17,RB,Christian McCaffrey,$9000,16.0%,34.3
2022,Week 17,RB,Travis Etienne,$6400,25.5%,26.0
2022,Week 17,WR,Chris Godwin,$6800,10.7%,25.0
2022,Week 17,WR,Mike Evans,$6500,6.4%,51.7
2022,Week 17,WR,DJ Moore,$5700,7.4%,26.7
2022,Week 17,TE,Hunter Henry,$3000,2.0%,10.2
2022,Week 17,FLEX,Darren Waller,$4300,1.1%,16.2
2022,Week 17,D/ST,Saints,$2200,4.9%,18.0
2021,Week 1,QB,Joe Burrow,$5700,3.0%,18.64
2021,Week 1,RB,Melvin Gordon III,$5900,23.8%,23.8
2021,Week 1,RB,Joe Mixon,$6200,12.9%,28.0
2021,Week 1,WR,Tyreek Hill,$8200,11.3%,40.1
2021,Week 1,WR,Deebo Samuel,$5900,5.0%,35.9
2021,Week 1,WR,Tee Higgins,$4700,12.6%,15.8
2021,Week 1,TE,Travis Kelce,$8300,10.3%,31.6
2021,Week 1,FLEX,Marvin Jones Jr.,$4000,1.9%,18.7
2021,Week 1,D/ST,Broncos,$2900,1.5%,10.0
2021,Week 2,QB,Tom Brady,$6900,13.4%,30.64
2021,Week 2,RB,Derrick Henry,$8300,7.0%,50.7
2021,Week 2,RB,Leonard Fournette,$5100,4.8%,11.6
2021,Week 2,WR,Tyler Lockett,$7200,8.6%,34.8
2021,Week 2,WR,Rondale Moore,$4000,2.4%,27.4
2021,Week 2,WR,Cooper Kupp,$6000,20.3%,39.8
2021,Week 2,TE,Rob Gronkowski,$4700,17.8%,19.9
2021,Week 2,FLEX,Marvin Jones Jr.,$4700,4.7%,17.5
2021,Week 2,D/ST,Cardinals,$2900,8.9%,1.0
2021,Week 3,QB,Josh Allen,$7000,5.4%,40.22
2021,Week 3,RB,Alexander Mattison,$6000,14.8%,26.1
2021,Week 3,RB,D'Andre Swift,$5800,6.3%,23.7
2021,Week 3,WR,DK Metcalf,$7300,13.6%,25.7
2021,Week 3,WR,Cole Beasley,$4800,3.3%,20.8
2021,Week 3,WR,Emmanuel Sanders,$4200,4.2%,26.4
2021,Week 3,TE,Logan Thomas,$4700,1.2%,13.2
2021,Week 3,FLEX,Justin Jefferson,$7200,6.7%,29.8
2021,Week 3,D/ST,Cardinals,$3000,16.8%,18.0
2021,Week 4,QB,Dak Prescott,$6700,6.8%,27.02
2021,Week 4,RB,Saquon Barkley,$6700,2.4%,29.6
2021,Week 4,RB,Cordarrelle Patterson,$4900,6.7%,34.6
2021,Week 4,WR,Deebo Samuel,$6500,10.1%,10.1
2021,Week 4,WR,DJ Moore,$6600,17.6%,34.9
2021,Week 4,WR,Corey Davis,$5000,9.9%,24.1
2021,Week 4,TE,Dalton Schultz,$3400,9.6%,17.8
2021,Week 4,FLEX,David Montgomery,$5800,20.2%,25.6
2021,Week 4,D/ST,Bills,$4300,5.3%,23.0
2021,Week 5,QB,Tom Brady,$7400,6.4%,40.74
2021,Week 5,RB,Chuba Hubbard,$6000,6.4%,21.4
2021,Week 5,RB,Alexander Mattison,$5500,35.4%,30.3
2021,Week 5,WR,Davante Adams,$8200,23.6%,40.6
2021,Week 5,WR,Mike Evans,$6800,5.4%,32.3
2021,Week 5,WR,Antonio Brown,$5200,14.7%,34.4
2021,Week 5,TE,Hunter Henry,$3700,4.5%,19.5
2021,Week 5,FLEX,Kadarius Toney,$4000,11.4%,32.6
2021,Week 5,D/ST,Vikings,$3000,8.1%,9.0
2021,Week 6,QB,Baker Mayfield,$5900,1.7%,15.16
2021,Week 6,RB,Jonathan Taylor,$6600,25.1%,31.8
2021,Week 6,RB,Joe Mixon,$6400,15.0%,26.3
2021,Week 6,WR,CeeDee Lamb,$6500,5.3%,39.1
2021,Week 6,WR,Donovan Peoples-Jones,$3500,0.8%,29.1
2021,Week 6,WR,Adam Thielen,$5800,5.6%,32.8
2021,Week 6,TE,Noah Fant,$4800,2.7%,24.7
2021,Week 6,FLEX,Travis Kelce,$7000,21.9%,17.9
2021,Week 6,D/ST,Colts,$3500,14.9%,15.0
2021,Week 7,QB,Matthew Stafford,$7100,13.4%,30.16
2021,Week 7,RB,D'Andre Swift,$6000,7.0%,28.4
2021,Week 7,RB,Damien Harris,$5700,12.6%,28.3
2021,Week 7,WR,Chris Godwin,$6400,24.6%,31.0
2021,Week 7,WR,Cooper Kupp,$8400,19.3%,40.6
2021,Week 7,WR,Terry McLaurin,$6900,4.1%,28.2
2021,Week 7,TE,Foster Moreau,$2500,2.0%,18.0
2021,Week 7,FLEX,Chris Godwin,$5900,25.9%,28.1
2021,Week 7,D/ST,Buccaneers,$4000,2.8%,21.0
2021,Week 8,QB,Carson Wentz,$5700,8.0%,20.34
2021,Week 8,RB,Elijah Mitchell,$5400,11.0%,22.7
2021,Week 8,RB,Michael Carter,$4900,6.0%,32.2
2021,Week 8,WR,Cooper Kupp,$9000,14.6%,27.5
2021,Week 8,WR,Antonio Brown,$6900,14.5%,34.5
2021,Week 8,WR,Michael Pittman,$5300,26.5%,30.6
2021,Week 8,TE,Pat Freiermuth,$3600,4.5%,14.4
2021,Week 8,FLEX,Chris Godwin,$6400,24.6%,31.0
2021,Week 8,D/ST,Seahawks,$2800,5.1%,13.0
2021,Week 9,QB,Justin Herbert,$7000,3.5%,34.64
2021,Week 9,RB,Nick Chubb,$6700,21.1%,33.3
2021,Week 9,RB,Zack Moss,$5300,8.1%,4.4
2021,Week 9,WR,Keenan Allen,$6700,7.0%,25.4
2021,Week 9,WR,Marquise Brown,$6000,28.3%,23.6
2021,Week 9,WR,Jaylen Waddle,$5600,16.3%,16.3
2021,Week 9,TE,Mike Gesicki,$4900,15.7%,9.4
2021,Week 9,FLEX,James Conner,$5300,2.0%,40.3
2021,Week 9,D/ST,Browns,$2500,3.0%,18.0
2021,Week 10,QB,Josh Allen,$7900,9.7%,24.94
2021,Week 10,RB,Diontae Johnson,$4700,48.4%,22.7
2021,Week 10,RB,Mark Ingram,$4500,26.2%,20.8
2021,Week 10,WR,Keenan Allen,$7000,8.5%,17.8
2021,Week 10,WR,Stefon Diggs,$7500,8.0%,33.2
2021,Week 10,WR,CeeDee Lamb,$7000,10.4%,28.6
2021,Week 10,TE,Hunter Henry,$4100,4.0%,19.7
2021,Week 10,FLEX,Rhamondre Stevenson,$4500,3.3%,30.4
2021,Week 10,D/ST,Eagles,$2700,3.3%,15.0
2021,Week 11,QB,Cam Newton,$5100,9.3%,26.16
2021,Week 11,RB,Jonathan Taylor,$8300,3.9%,56.4
2021,Week 11,RB,Miles Sanders,$5000,0.7%,8.4
2021,Week 11,WR,Justin Jefferson,$8100,3.0%,40.2
2021,Week 11,WR,Terry McLaurin,$7000,1.2%,24.3
2021,Week 11,WR,Elijah Moore,$4900,4.6%,32.6
2021,Week 11,TE,Tommy Tremble,$2500,0.1%,5.5
2021,Week 11,FLEX,D'Andre Swift,$7000,6.6%,25.6
2021,Week 11,D/ST,Lions,$2100,2.4%,11.0
2021,Week 12,QB,Matthew Stafford,$7100,3.5%,26.98
2021,Week 12,RB,Joe Mixon,$7500,11.8%,35.3
2021,Week 12,RB,Leonard Fournette,$6800,3.6%,47.1
2021,Week 12,WR,Odell Beckham Jr.,$5000,8.5%,19.1
2021,Week 12,WR,Jaylen Waddle,$5900,6.4%,31.7
2021,Week 12,WR,Robbie Anderson,$4700,3.4%,2.5
2021,Week 12,TE,Rob Gronkowski,$4400,36.4%,22.3
2021,Week 12,FLEX,Darrell Henderson Jr.,$5800,14.2%,17.3
2021,Week 12,D/ST,Dolphins,$2800,3.8%,23.0
2021,Week 13,QB,Gardner Minshew,$4000,11.7%,18.78
2021,Week 13,RB,Sony Michel,$4300,20.8%,24.9
2021,Week 13,RB,Jamaal Williams,$5400,22.5%,9.0
2021,Week 13,WR,Diontae Johnson,$6800,9.9%,33.5
2021,Week 13,WR,Justin Jefferson,$8200,38.6%,38.6
2021,Week 13,WR,Chris Godwin,$6600,17.6%,33.2
2021,Week 13,TE,George Kittle,$5900,7.2%,42.6
2021,Week 13,FLEX,Dallas Goedert,$4500,6.6%,31.5
2021,Week 13,D/ST,Rams,$4000,5.8%,10.0
2021,Week 14,QB,Josh Allen,$7800,9.6%,43.22
2021,Week 14,RB,Saquon Barkley,$6000,13.3%,18.5
2021,Week 14,RB,Rashaad Penny,$4800,2.3%,29.8
2021,Week 14,WR,Ja'Marr Chase,$6900,10.7%,25.3
2021,Week 14,WR,Cole Beasley,$5000,9.7%,15.4
2021,Week 14,WR,Robbie Anderson,$4300,1.6%,21.4
2021,Week 14,TE,Mark Andrews,$5900,7.2%,31.5
2021,Week 14,FLEX,Hunter Renfrow,$6100,14.0%,32.7
2021,Week 14,D/ST,Seahawks,$3100,14.5%,6.0
2021,Week 15,QB,Aaron Rodgers,$7500,16.5%,23.82
2021,Week 15,RB,Aaron Jones,$6600,2.0%,15.0
2021,Week 15,RB,Jeff Wilson Jr.,$5000,18.5%,22.9
2021,Week 15,WR,Davante Adams,$8900,47.5%,16.4
2021,Week 15,WR,Michael Gallup,$5500,3.5%,6.2
2021,Week 15,WR,Laquon Treadwell,$3300,3.0%,11.7
2021,Week 15,TE,Mark Andrews,$6400,11.5%,38.6
2021,Week 15,FLEX,Cooper Kupp,$3700,28.5%,25.5
2021,Week 15,D/ST,49ers,$3100,9.0%,9.0
2021,Week 16,QB,Joe Burrow,$5900,12.4%,41.1
2021,Week 16,RB,Joe Mixon,$6900,7.1%,31.5
2021,Week 16,RB,Justin Jackson,$4200,44.6%,35.2
2021,Week 16,WR,Ja'Marr Chase,$7100,13.8%,22.5
2021,Week 16,WR,Tee Higgins,$6200,9.3%,46.4
2021,Week 16,WR,Braxton Berrios,$3500,8.3%,15.0
2021,Week 16,TE,Mark Andrews,$7000,6.4%,29.5
2021,Week 16,FLEX,Damien Harris,$5600,4.0%,31.3
2021,Week 16,D/ST,Eagles,$3600,9.2%,16.0
2021,Week 17,QB,Joe Burrow,$6900,8.0%,37.84
2021,Week 17,RB,Sony Michel,$5800,24.0%,18.9
2021,Week 17,RB,Damien Williams,$5800,15.7%,25.7
2021,Week 17,WR,Brandin Cooks,$6000,13.7%,19.6
2021,Week 17,WR,Ja'Marr Chase,$7600,4.5%,58.6
2021,Week 17,WR,Braxton Berrios,$3700,22.4%,26.7
2021,Week 17,TE,Rob Gronkowski,$6200,6.9%,21.5
2021,Week 17,FLEX,Jaret Patterson,$4800,8.4%,20.8
2021,Week 17,D/ST,Bears,$3200,11.0%,21.0
2021,Week 18,QB,Matthew Stafford,$6700,7.8%,19.52
2021,Week 18,RB,James Conner,$6300,10.3%,27.3
2021,Week 18,RB,Antonio Gibson,$5800,9.3%,25.1
2021,Week 18,WR,Tyler Lockett,$6400,11.6%,27.0
2021,Week 18,WR,Jauan Jennings,$3600,0.2%,27.4
2021,Week 18,WR,Chase Claypool,$5100,6.9%,18.0
2021,Week 18,TE,Tyler Higbee,$4000,6.4%,23.5
2021,Week 18,FLEX,Cooper Kupp,$9700,18.3%,29.6
2021,Week 18,D/ST,Dolphins,$2400,8.1%,20.0
