rolling_avg_receptions,rolling_avg_targets,rolling_avg_actual_fantasy_points,avg_points_allowed_to_pos,actual_fantasy_points
0.0,0.0,29.15999984741211,14.866769105654496,31.639999985694885
0.0,0.0,30.399999916553497,13.379142606471266,28.679998755455017
0.0,0.0,29.826666196187336,13.049999875831418,11.060000240802765
0.0,0.0,25.134999707341194,16.279671974846575,37.74000060558319
0.0,0.0,27.279999896883965,14.724347717196181,18.980000115931034
0.0,0.0,24.114999929443,14.419999875477515,24.4399995803833
0.0,0.0,23.055000135675073,13.880338815056671,29.200000002980232
0.0,0.0,27.59000007621944,17.046229366762716,15.000000193715096
0.0,0.0,21.904999973252416,13.543283457631496,20.27999973297119
0.0,0.0,22.229999877512455,14.318437376641668,12.23999996483326
0.0,0.0,19.179999973624945,14.866769105654496,29.619999311864376
0.0,0.0,19.28499980084598,12.61939376694235,30.119999527931213
0.0,0.0,23.06499963440001,13.880338815056671,7.759999468922615
0.0,0.0,19.934999568387866,12.662187374895439,14.37999975681305
0.0,0.0,20.469999516382813,12.428181702327548,27.399999618530273
0.0,0.0,19.914999593049288,12.662187374895439,25.039999961853027
0.0,0.0,18.64499970152974,14.724347717196181,18.84000015258789
0.0,0.0,21.41499987244606,13.379142606471266,16.15999984741211
0.0,0.0,19.354999603703618,12.61939376694235,12.019999980926514
0.0,0.0,12.019999980926514,14.992786789160283,14.800000190734863
0.0,0.0,13.410000085830688,15.096666472314885,15.219999313354492
0.0,0.0,14.013333161671957,14.424761752524073,12.279999732971191
0.0,0.0,13.579999804496765,13.524516002545434,18.019999884068966
0.0,0.0,15.079999780282378,15.773333156729738,12.85999983549118
0.0,0.0,14.594999691471457,12.642153730071508,14.639999389648438
0.0,0.0,14.449999710544944,14.419999875477515,16.199999809265137
0.0,0.0,15.42999972961843,15.822711682546947,22.920000076293945
0.0,0.0,16.654999777674675,15.096666472314885,12.519999504089355
0.0,0.0,16.56999969482422,13.5969695198265,17.339999578893185
0.0,0.0,17.244999742135406,15.610476027523715,23.81999969482422
0.0,0.0,19.149999713525176,15.212903048362463,11.920000076293945
0.0,0.0,16.399999713525176,17.469117511830785,9.359999656677246
0.0,0.0,15.609999751672149,12.642153730071508,7.820000074803829
0.0,0.0,13.22999987564981,13.5969695198265,12.360000222921371
0.0,0.0,10.365000007674098,17.469117511830785,16.499999426305294
0.0,0.0,11.509999845176935,13.880338815056671,3.3199996948242188
0.0,0.0,3.3199996948242188,17.204374801018275,26.799999833106995
0.0,0.0,15.059999763965607,13.088533184727034,19.039999574422836
0.3333333333333333,0.3333333333333333,16.38666636745135,15.473999810094634,24.120000079274178
0.25,0.25,18.319999795407057,15.096666472314885,20.75999927520752
0.25,0.25,22.679999690502882,14.419999875477515,23.699999690055847
0.25,0.25,21.904999654740095,17.046229366762716,24.66000008583069
0.0,0.0,23.309999782592058,15.962580503355111,15.659999668598175
0.0,0.0,21.194999679923058,15.773333156729738,11.479999363422394
0.0,0.0,18.874999701976776,15.610476027523715,33.49999976158142
0.0,0.0,21.32499971985817,13.379142606471266,26.27999973297119
0.0,0.0,21.729999631643295,14.419999875477515,29.639999389648438
0.0,0.0,25.22499956190586,13.5969695198265,23.81999933719635
0.0,0.0,28.30999955534935,12.642153730071508,19.97999992221594
0.0,0.0,24.92999959550798,15.610476027523715,20.319999516010284
0.0,0.0,23.439999541267753,17.204374801018275,14.219999969005585
0.0,0.0,19.58499968610704,13.088533184727034,9.0
0.0,0.0,10.769999761134386,15.822711682546947,0.7199999839067459
0.0,0.0,0.7199999839067459,5.358064555993644,2.899999976158142
1.0,1.0,2.899999976158142,6.29980772962937,1.699999988079071
1.0,1.5,2.2999999821186066,7.246846901202524,5.400000095367432
1.3333333333333333,1.6666666666666667,3.333333353201548,5.358200043663382,3.700000047683716
1.5,1.75,3.42500002682209,5.890425571735869,6.1000001430511475
2.0,2.25,4.2250000685453415,6.6417582889834605,0.0
1.75,2.0,3.8000000715255737,5.624369783686991,0.8999999985098839
1.5,1.75,2.675000047311187,7.41473689596904,3.0
1.5,1.75,2.500000035390258,6.279047673869701,2.4000000059604645
1.25,1.75,1.575000001117587,5.358200043663382,9.099999904632568
2.25,2.5,3.849999977275729,6.420192348914077,7.0
2.75,3.0,5.374999977648258,5.918478278443217,2.2000000029802322
2.75,3.25,5.174999978393316,6.482142890337855,0.0
2.25,2.75,4.5749999769032,5.183739868242566,1.0
0.75,1.0,2.7750000078231096,8.306569438346111,9.600000143051147
1.0,1.0,9.600000143051147,7.5801527451809125,3.0000001415610313
1.0,1.0,6.300000142306089,9.930434874272432,6.4000000059604645
1.3333333333333333,1.3333333333333333,6.333333430190881,7.698648742022547,7.600000023841858
1.0,1.0,6.650000078603625,8.583584976013539,14.400000095367432
5.0,5.0,14.400000095367432,7.710396104077302,1.9000000357627869
3.0,3.0,8.15000006556511,9.002244972224746,4.700000047683716
3.0,3.6666666666666665,7.000000059604645,8.911377847658263,2.300000011920929
2.75,4.0,5.825000047683716,8.186250063324612,7.900000095367432
2.25,4.5,4.200000047683716,9.551889487743926,0.0
2.0,4.5,3.725000038743019,6.741782227475749,5.299999952316284
2.0,4.5,3.875000014901161,9.551889487743926,30.300000190734863
3.25,5.5,10.875000059604645,14.724347717196181,7.35999995470047
0.0,0.0,7.35999995470047,16.01212103484255,17.30000001192093
0.0,0.0,12.3299999833107,13.543283457631496,17.619999311864376
0.0,0.0,14.093333092828592,17.046229366762716,29.019999742507935
0.0,0.0,17.824999755248427,12.428181702327548,21.57999935001135
